step,acc,loss
0,0.01171875,4.574943542480469
100,0.1640625,3.7695744037628174
200,0.591796875,2.140599250793457
300,0.94921875,0.6919350624084473
400,1.0,0.16132330894470215
500,1.0,0.06617177277803421
600,1.0,0.037466228008270264
700,1.0,0.024321841076016426
800,1.0,0.016947738826274872
900,1.0,0.012198837473988533
1000,1.0,0.009626454673707485
1100,1.0,0.007818419486284256
1200,1.0,0.0063415709882974625
1300,1.0,0.005316058173775673
1400,1.0,0.004389156121760607
1500,1.0,0.003808733308687806
1600,1.0,0.0032574136275798082
1700,1.0,0.0028775627724826336
1800,1.0,0.0025145201943814754
1900,1.0,0.0021845842711627483
2000,1.0,0.0019410994136705995
2100,1.0,0.0016736197285354137
2200,1.0,0.0015331604517996311
2300,1.0,0.0013668910833075643
2400,1.0,0.0012462084414437413
2500,1.0,0.0011227147188037634
2600,1.0,0.001000728108920157
2700,1.0,0.0008867607684805989
2800,1.0,0.0008466064464300871
2900,1.0,0.0007583173573948443
3000,1.0,0.0006975941942073405
3100,1.0,0.0006296135834418237
3200,1.0,0.0005871409666724503
3300,1.0,0.000550630153156817
3400,1.0,0.0005023234407417476
3500,1.0,0.00046660169027745724
3600,1.0,0.000415158923715353
3700,1.0,0.00039224888314493
3800,1.0,0.0003622318909037858
3900,1.0,0.0003382904105819762
4000,1.0,0.0003238760109525174
4100,1.0,0.00028858467703685164
4200,1.0,0.0002726559469010681
4300,1.0,0.00025534210726618767
4400,1.0,0.0002352502488065511
4500,1.0,0.00022204966808203608
4600,1.0,0.00020684058836195618
4700,1.0,0.00019092335423920304
4800,1.0,0.00017955104704014957
4900,1.0,0.00016545334074180573
5000,1.0,0.00016064335068222135
5100,1.0,0.0001469921407988295
5200,1.0,0.0001403550268150866
5300,1.0,0.00013083887461107224
5400,1.0,0.00012595484440680593
5500,1.0,0.00011537337559275329
5600,1.0,0.00010775888949865475
5700,1.0,0.00010211286280537024
5800,1.0,9.637260518502444e-05
5900,1.0,8.853582403389737e-05
6000,1.0,8.23910886538215e-05
6100,1.0,7.753605314064771e-05
6200,1.0,7.519446808146313e-05
6300,1.0,7.117012864910066e-05
6400,1.0,6.612572178710252e-05
6500,1.0,6.124032370280474e-05
6600,1.0,5.844538827659562e-05
6700,1.0,5.480275285663083e-05
6800,1.0,5.10122517880518e-05
6900,1.0,4.8373931349487975e-05
7000,1.0,4.440555130713619e-05
7100,1.0,4.37699600297492e-05
7200,1.0,4.056029865751043e-05
7300,1.0,3.7246092688292265e-05
7400,1.0,3.5618671972770244e-05
7500,1.0,3.425200338824652e-05
7600,1.0,3.179316991008818e-05
7700,1.0,2.9416751203825697e-05
7800,1.0,2.807289274642244e-05
7900,1.0,2.6453604732523672e-05
8000,1.0,2.501614835637156e-05
8100,1.0,2.3448541469406337e-05
8200,1.0,2.258848508063238e-05
8300,1.0,2.1127274521859363e-05
8400,1.0,1.98201942112064e-05
8500,1.0,1.8567125152912922e-05
8600,1.0,1.7662125173956156e-05
8700,1.0,1.693500962574035e-05
8800,1.0,1.578648152644746e-05
8900,1.0,1.5147371414059307e-05
9000,1.0,1.4221417586668395e-05
9100,1.0,1.3214208593126386e-05
9200,1.0,1.23713725770358e-05
9300,1.0,1.172713928099256e-05
9400,1.0,1.1345535313012078e-05
9500,1.0,1.0492220098967664e-05
9600,1.0,1.0053804544440936e-05
9700,1.0,9.559511454426683e-06
9800,1.0,8.995833923108876e-06
9900,1.0,8.371154763153754e-06
10000,1.0,8.00165616965387e-06
10100,1.0,7.5711554927693214e-06
10200,1.0,7.324590114876628e-06
10300,1.0,6.70084136800142e-06
10400,1.0,6.45334421278676e-06
10500,1.0,6.096650395193137e-06
10600,1.0,5.6733670135145076e-06
10700,1.0,5.420281013357453e-06
10800,1.0,5.1096867537125945e-06
10900,1.0,4.68733469460858e-06
11000,1.0,4.5008382585365325e-06
11100,1.0,4.291291588742752e-06
11200,1.0,4.092687959200703e-06
11300,1.0,3.776970970648108e-06
11400,1.0,3.6021160667587537e-06
11500,1.0,3.376503627805505e-06
11600,1.0,3.2952457331703044e-06
11700,1.0,3.098738034168491e-06
11800,1.0,2.862182782337186e-06
11900,1.0,2.7962919375568163e-06
12000,1.0,2.5937297323253006e-06
12100,1.0,2.4563601073168684e-06
12200,1.0,2.3511206563853193e-06
12300,1.0,2.1913992895861156e-06
12400,1.0,2.0409911485330667e-06
12500,1.0,1.984413529498852e-06
12600,1.0,1.8256232579005882e-06
12700,1.0,1.73668195202481e-06
12800,1.0,1.6211981801461661e-06
12900,1.0,1.5534446902165655e-06
13000,1.0,1.5117680050025228e-06
13100,1.0,1.425387949893775e-06
13200,1.0,1.3478555729307118e-06
13300,1.0,1.2633381629711948e-06
13400,1.0,1.2135125189161045e-06
13500,1.0,1.0952346656267764e-06
13600,1.0,1.0535579804127337e-06
13700,1.0,9.997743291023653e-07
13800,1.0,9.511127245787065e-07
13900,1.0,8.847562185110291e-07
14000,1.0,8.60076170283719e-07
14100,1.0,8.104832431854447e-07
14200,1.0,7.646157200724701e-07
14300,1.0,7.294582928807358e-07
14400,1.0,6.745102609784226e-07
14500,1.0,6.274785278037598e-07
14600,1.0,6.067566005185654e-07
14700,1.0,5.59259149213176e-07
14800,1.0,5.371402380660584e-07
14900,1.0,5.029141334489395e-07
